datetime,Weekday,season,Holiday,Workingday,weather,Temp,Feel-like temp,Humidity,Windspeed,Casual renter,Registered renter,Total renter
1/1/15 0:00,4,1,1,0,1,6.41,11.37,53,0,3,0,3
1/1/15 1:00,4,1,1,0,1,7.15,11.85,64,0,4,0,4
1/1/15 2:00,4,1,1,0,1,5.88,12.10,65,0,4,1,5
1/1/15 4:00,4,1,1,0,2,6.35,9.90,64,7.6155,3,1,4
1/1/15 5:00,4,1,1,0,2,5.57,9.01,70,4.6045,3,0,3
1/1/15 6:00,4,1,1,0,2,5.17,8.15,61,6.9528,4,0,4
1/1/15 7:00,4,1,1,0,2,6.99,11.20,58,0,4,0,4
1/1/15 8:00,4,1,1,0,1,7.17,10.72,58,0,4,1,5
1/1/15 9:00,4,1,1,0,2,8.03,12.70,50,0,4,1,5
1/1/15 10:00,4,1,1,0,1,8.22,12.63,46,0,3,0,3
1/1/15 11:00,4,1,1,0,1,8.21,13.30,44,5.7301,3,0,3
1/1/15 12:00,4,1,1,0,1,11.03,13.56,34,0,4,0,4
1/1/15 13:00,4,1,1,0,1,11.65,13.30,34,8.3430,4,1,5
1/1/15 14:00,4,1,1,0,1,12.31,12.67,37,11.5300,3,0,3
1/1/15 15:00,4,1,1,0,1,10.79,13.14,35,0,4,0,4
1/1/15 16:00,4,1,1,0,1,11.45,13.79,39,12.6990,3,0,3
1/1/15 17:00,4,1,1,0,1,8.36,11.18,51,11.7757,3,0,3
1/1/15 18:00,4,1,1,0,1,9.31,10.96,50,10.4956,3,0,3
1/1/15 19:00,4,1,1,0,1,8.13,12.59,54,4.1677,4,0,4
1/1/15 20:00,4,1,1,0,1,7.30,10.79,50,12.4848,4,1,5
1/1/15 21:00,4,1,1,0,2,9.18,9.90,54,14.1261,3,1,4
1/1/15 22:00,4,1,1,0,2,9.73,10.10,52,17.9049,4,1,5
1/1/15 23:00,4,1,1,0,2,7.84,10.27,58,14.7074,4,1,5
1/2/15 0:00,5,1,0,1,2,8.57,10.25,62,13.2453,5,0,5
1/2/15 1:00,5,1,0,1,2,7.78,9.23,67,13.3926,4,0,4
1/2/15 2:00,5,1,0,1,2,7.89,8.92,67,13.6246,5,0,5
1/2/15 4:00,5,1,0,1,2,7.87,11.41,67,9.7825,5,1,6
1/2/15 5:00,5,1,0,1,3,8.78,12.78,55,0,4,0,4
1/2/15 6:00,5,1,0,1,2,8.25,12.71,68,0,4,0,4
1/2/15 7:00,5,1,0,1,1,8.23,9.96,69,10.6579,4,0,4
1/2/15 8:00,5,1,0,1,1,7.53,9.71,51,18.6320,4,1,5
1/2/15 9:00,5,1,0,1,1,8.15,9.05,47,18.4093,5,1,6
1/2/15 10:00,5,1,0,1,1,9.15,10.66,37,22.9967,4,1,5
